iso3,cod,grupo,pct,n
PER,35,Personas que viven en provincias o zonas rurales,2.0,21
PER,23,Mujeres,1.6,16
PER,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,1.4,14
PER,39,Personas discriminadas por su raza (sin especificar),1.2,12
PER,26,Analfabetos / sin educación,1.1,11
PER,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.4,4
PER,25,Jóvenes,0.3,3
PER,5,Mestizos,0.2,2
PER,16,Inmigrantes de Perú,0.2,2
PER,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.2,2
PER,3,Blancos,0.1,1
PER,4,Mulatos,0.1,1
PER,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.1,1
PER,30,Pertenecen a grupos feministas,0.1,1
PRY,10,Pobres,42.3,425
PRY,2,Indígenas,22.5,226
PRY,34,Campesinos/ personas que trabajan el campo,9.0,90
PRY,20,Homosexuales,6.5,65
PRY,24,Viejos,3.6,36
PRY,97,Ninguna (no hay personas o grupos de personas discriminadas),3.5,35
PRY,96,Otros,2.7,27
PRY,33,Personas en situación de calle/ indigentes,2.5,25
PRY,23,Mujeres,2.1,21
PRY,18,Discapacitados,1.3,13
PRY,28,"Pertenecen a algún partido político (comunista, socialista etc)",1.0,10
PRY,21,Drogadictos,0.8,8
PRY,25,Jóvenes,0.7,7
PRY,37,Personas que pertenecen a grupos armados,0.6,6
PRY,11,Inmigrantes (en general),0.4,4
PRY,1,Negros o afrodescendientes,0.3,3
PRY,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.2,2
PRY,30,Pertenecen a grupos feministas,0.1,1
PRY,32,Madres solteras,0.1,1
SLV,10,Pobres,34.1,281
SLV,97,Ninguna (no hay personas o grupos de personas discriminadas),18.1,149
SLV,20,Homosexuales,10.9,90
SLV,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,10.9,90
SLV,96,Otros,6.4,53
SLV,24,Viejos,3.3,27
SLV,18,Discapacitados,2.7,22
SLV,2,Indígenas,2.4,20
SLV,33,Personas en situación de calle/ indigentes,2.1,17
SLV,23,Mujeres,1.9,16
SLV,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,1.3,11
SLV,28,"Pertenecen a algún partido político (comunista, socialista etc)",1.0,8
SLV,25,Jóvenes,0.6,5
SLV,26,Analfabetos / sin educación,0.6,5
SLV,1,Negros o afrodescendientes,0.5,4
SLV,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.5,4
SLV,21,Drogadictos,0.4,3
SLV,22,Personas con tatuajes,0.4,3
SLV,34,Campesinos/ personas que trabajan el campo,0.4,3
SLV,4,Mulatos,0.2,2
SLV,11,Inmigrantes (en general),0.2,2
SLV,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.2,2
SLV,38,Alcohólicos,0.2,2
SLV,19,Enfermos de SIDA,0.1,1
SLV,30,Pertenecen a grupos feministas,0.1,1
SLV,32,Madres solteras,0.1,1
SLV,35,Personas que viven en provincias o zonas rurales,0.1,1
SLV,39,Personas discriminadas por su raza (sin especificar),0.1,1
URY,10,Pobres,19.9,216
URY,97,Ninguna (no hay personas o grupos de personas discriminadas),17.9,195
URY,1,Negros o afrodescendientes,15.4,168
URY,96,Otros,13.1,143
URY,20,Homosexuales,8.7,95
URY,11,Inmigrantes (en general),5.1,56
URY,18,Discapacitados,4.1,45
URY,39,Personas discriminadas por su raza (sin especificar),2.6,28
URY,24,Viejos,2.5,27
URY,23,Mujeres,2.1,23
URY,25,Jóvenes,2.1,23
URY,33,Personas en situación de calle/ indigentes,1.6,17
URY,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.9,10
URY,21,Drogadictos,0.8,9
URY,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.7,8
URY,26,Analfabetos / sin educación,0.6,6
URY,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.4,4
URY,12,Inmigrantes de países de América Latina,0.3,3
URY,32,Madres solteras,0.3,3
URY,2,Indígenas,0.2,2
URY,34,Campesinos/ personas que trabajan el campo,0.2,2
URY,19,Enfermos de SIDA,0.1,1
URY,22,Personas con tatuajes,0.1,1
URY,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.1,1
URY,35,Personas que viven en provincias o zonas rurales,0.1,1
URY,38,Alcohólicos,0.1,1
VEN,10,Pobres,32.4,334
VEN,97,Ninguna (no hay personas o grupos de personas discriminadas),28.2,281
VEN,28,"Pertenecen a algún partido político (comunista, socialista etc)",11.6,106
VEN,24,Viejos,9.6,100
VEN,96,Otros,3.7,37
VEN,2,Indígenas,2.5,24
VEN,18,Discapacitados,2.1,17
VEN,33,Personas en situación de calle/ indigentes,1.9,16
VEN,1,Negros o afrodescendientes,1.6,17
VEN,20,Homosexuales,1.6,13
VEN,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,1.2,11
VEN,11,Inmigrantes (en general),0.9,8
VEN,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.6,5
VEN,40,Médicos o trabajadores de la salud,0.6,6
VEN,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.4,4
VEN,23,Mujeres,0.3,4
VEN,25,Jóvenes,0.3,3
VEN,34,Campesinos/ personas que trabajan el campo,0.3,2
VEN,14,Inmigrantes de Colombia,0.1,1
VEN,26,Analfabetos / sin educación,0.1,1
VEN,32,Madres solteras,0.1,1
