"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"376514","MathÃ­as Olivera","1997-10-31","Uruguay","URY","Uruguay","URY","Montevideo","Montevideo, Uruguay","-56,1913095","-34,9058916","Left-Back","SSC Neapel","Serie A","True"
"589006","Mathieu ChoiniÃ¨re","1999-02-07","Canada","CAN","Canada","CAN","Saint-Alexandre, ...","Saint-Alexandre, ..., Canada","-69,6239716","47,6832387","Central Midfield","Los Angeles FC","MLS","True"
"724129","Matias Fernandez-Pardo","2005-02-03","Belgium","BEL","Belgium","BEL","Brussel","Brussel, Belgium","4,352493","50,8467372","Centre-Forward","LOSC Lille","Ligue 1","True"
"661269","MatÃ­as Galarza","2002-02-11","Paraguay","PRY","Paraguay","PRY","AsunciÃ³n","AsunciÃ³n, Paraguay","-57,6343814","-25,2800459","Central Midfield","Atlanta United FC","MLS","True"
"439072","MatÃ­as ViÃ±a","1997-11-09","Uruguay","URY","Uruguay","URY","Empalme Olmos","Empalme Olmos, Uruguay","-55,8948676","-34,6954579","Left-Back","Club AtlÃ©tico River Plate","Torneo Clausura","True"
"415381","Mats Wieffer","1999-11-16","Netherlands","NLD","Netherlands","NLD","Borne","Borne, Netherlands","6,7502395","52,3018287","Right-Back","Brighton & Hove Albion","Premier League","True"
"500309","Matt Freese","1998-09-02","United States of America","USA","United States of America","USA","Wayne, Pennsylvania","Wayne, Pennsylvania, United States","-75,3045103","41,6264414","Goalkeeper","New York City FC","MLS","True"
"617019","Matthew Garbett","2002-04-13","New Zealand","NZL","England","ENG","London","London, England","-0,1277653","51,5074456","Central Midfield","Peterborough United","League One","True"
"680218","Matthieu Epolo","2005-01-15","Dem. Rep. Congo","COD","Belgium","BEL","Brussel","Brussel, Belgium","4,352493","50,8467372","Goalkeeper","Standard LÃ¼ttich","Jupiler Pro League","True"
"342405","Mattias Svanberg","1999-01-05","Sweden","SWE","Sweden","SWE","MalmÃ¶","MalmÃ¶, Sweden","13,0001566","55,6052931","Central Midfield","VfL Wolfsburg","Bundesliga","True"
"425306","Matt Turner","1994-06-24","United States of America","USA","United States of America","USA","Park Ridge, New ...","Park Ridge, New ..., United States","-74,0415551","41,035965","Goalkeeper","New England Revolution","MLS","True"
"678439","Mauricio","2001-06-22","Paraguay","PRY","Brazil","BRA","SÃ£o Paulo","SÃ£o Paulo, Brazil","-46,6333824","-23,5506507","Attacking Midfield","SE Palmeiras SÃ£o Paulo","SÃ©rie A","True"
"993063","Max Arfsten","2001-04-19","United States of America","USA","United States of America","USA","Fresno, California","Fresno, California, United States","-119,78483","36,7394421","Left Winger","Columbus Crew SC","MLS","True"
"207843","Max Crocombe","1993-08-12","New Zealand","NZL","New Zealand","NZL","Auckland","Auckland, New Zealand","174,7631803","-36,852095","Goalkeeper","FC Millwall","Championship","True"
"434224","Maxence Lacroix","2000-04-06","France","FRA","France","FRA","Villeneuve-Saint-Georges","Villeneuve-Saint-Georges, France","2,44782","48,7305272","Centre-Back","Crystal Palace","Premier League","True"
"572675","Maxi AraÃºjo","2000-02-15","Uruguay","URY","Uruguay","URY","Montevideo","Montevideo, Uruguay","-56,1913095","-34,9058916","Left-Back","Sporting Lissabon","Liga Portugal","True"
"429915","Maxim De Cuyper","2000-12-22","Belgium","BEL","Belgium","BEL","Knokke-Heist","Knokke-Heist, Belgium","3,2884738","51,3433866","Left-Back","Brighton & Hove Albion","Premier League","True"
"189014","Maxime CrÃ©peau","1994-05-11","Canada","CAN","Canada","CAN","Greenfield Park, ...","Greenfield Park, ..., Canada","-73,4870499","45,4926624","Goalkeeper","Orlando City SC","MLS","True"
"578392","Maximilian Beier","2002-10-17","Germany","DEU","Germany","DEU","Brandenburg an der ...","Brandenburg an der ..., Germany","12,5284372","52,4429371","Centre-Forward","Borussia Dortmund","Bundesliga","True"
"1378320","Mbekezeli Mbokazi","2005-09-19","South Africa","ZAF","South Africa","ZAF","Hluhluwe, ...","Hluhluwe, ..., South Africa","32,269167","-28,0175","Centre-Back","Chicago Fire FC","MLS","True"
"478192","Mehdi Ghayedi","1998-12-05","Iran","IRN","Iran","IRN","Bushehr","Bushehr, Iran","51,3204877","28,8936645","Left Winger","Al-Nasr (Dubai)","UAE Pro League","True"
"307058","Mehdi Taremi","1992-07-18","Iran","IRN","Iran","IRN","Bushehr","Bushehr, Iran","51,3204877","28,8936645","Centre-Forward","Olympiakos PirÃ¤us","Super League 1","True"
"283833","Mehdi Torabi","1994-09-10","Iran","IRN","Iran","IRN","Karaj, Alborz","Karaj, Alborz, Iran","50,9904681","35,8224892","Left Winger","Tractor FC","Persian Gulf League","True"
"534398","Melvin Mastil","2000-02-19","Algerije","ALG","France","FRA","Thonon-les-Bains","Thonon-les-Bains, France","6,4779448","46,3731303","Goalkeeper","FC Stade Nyonnais","Challenge League","True"
"167850","Memphis Depay","1994-02-13","Netherlands","NLD","Netherlands","NLD","Moordrecht","Moordrecht, Netherlands","4,6698314","51,9865065","Second Striker","Corinthians SÃ£o Paulo","SÃ©rie A","True"
"530527","Merchas Doski","1999-12-07","Iraq","IRQ","Germany","DEU","Hannover","Hannover, Germany","9,7385532","52,3744779","Left-Back","FC Viktoria Pilsen","Chance Liga","True"
"340879","Merih Demiral","1998-03-05","Turkey","TUR","Turkey","TUR","Kocaeli","Kocaeli, TÃ¼rkiye","29,9507184","40,8216536","Centre-Back","Al-Ahli Dschidda","Saudi Pro League","True"
