country_code,country_name,region_code,region_name,reporting_level,year,welfare_type,mean,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
RUS,Russian Federation,ECS,Europe & Central Asia,national,2014,income,42.621524868804,.3688619521,.022437793371,.039660104778,.051295332235,.062594086826,.07456452768,.087812240248,.102955783621,.12449901173,.159325250062,.274855869449
RUS,Russian Federation,ECS,Europe & Central Asia,national,2015,consumption,26.906235776913,.377105383404,.027875382821,.041387731328,.050920801601,.060165632425,.070000833953,.081848784474,.097100885267,.118016689942,.156147027657,.296536230532
RUS,Russian Federation,ECS,Europe & Central Asia,national,2015,income,39.168790153402,.365167399782,.022349396541,.039257672543,.051417561719,.062779922586,.074792999961,.088516159635,.105421406016,.126323192238,.161301176706,.267840512054
RUS,Russian Federation,ECS,Europe & Central Asia,national,2016,consumption,26.144949893757,.368484993358,.028452518646,.041782743111,.051504850599,.06080553106,.071313536822,.083337541555,.098715950576,.120553752274,.157386406899,.286147168457
RUS,Russian Federation,ECS,Europe & Central Asia,national,2016,income,37.753806068502,.367203065457,.022983411043,.039364836612,.051224119483,.062429327769,.074108609702,.087323222087,.103991335269,.126589356559,.161695262984,.270290518493
RUS,Russian Federation,ECS,Europe & Central Asia,national,2017,consumption,26.19899067059,.372390709646,.028639407402,.041861487873,.051461666111,.060516616553,.070426109589,.082893329637,.097118337536,.119406037789,.157422200357,.290254807151
RUS,Russian Federation,ECS,Europe & Central Asia,national,2017,income,36.578516806107,.354539967073,.024244949237,.041135708947,.053098145336,.064227723954,.075831316109,.088698807043,.104140808876,.125704283145,.160944556088,.261973701264
RUS,Russian Federation,ECS,Europe & Central Asia,national,2018,consumption,26.542816172412,.374730062328,.028911317974,.042044674086,.05121984267,.060412627225,.070284525205,.081975913168,.096749774142,.117166227217,.152418151009,.298816947304
RUS,Russian Federation,ECS,Europe & Central Asia,national,2018,income,37.376572714756,.35280126907,.025628271681,.041533783821,.053057660801,.063879339571,.075513843065,.088552892889,.103905999916,.124848278316,.159984876894,.263095053046
RUS,Russian Federation,ECS,Europe & Central Asia,national,2019,consumption,27.633638374452,.37736861985,.02890799028,.041655092453,.050969338361,.060165536682,.07005378924,.081588787784,.096857932599,.11709455797,.150912472623,.301794502008
RUS,Russian Federation,ECS,Europe & Central Asia,national,2019,income,37.92106605434,.356744667433,.025253359258,.041542990777,.053109491127,.063691152906,.075010603501,.087721335296,.103179689014,.123580925415,.157970848691,.268939604014
RUS,Russian Federation,ECS,Europe & Central Asia,national,2020,consumption,26.266544980773,.36068242064,.030704315979,.043976582153,.053248978139,.062349329556,.072007579022,.082992421916,.097297353513,.117098903502,.149948511296,.290376024924
RUS,Russian Federation,ECS,Europe & Central Asia,national,2020,income,37.858579155612,.337148960238,.028705187594,.044929085719,.055576058255,.065690236355,.076254582001,.08834435143,.103528033539,.123772509906,.155912051538,.257287903663
RUS,Russian Federation,ECS,Europe & Central Asia,national,2021,income,38.467581163212,.351442241658,.026857059972,.042608330652,.053544176895,.064041234061,.074949312997,.087158418197,.103177910459,.124094915045,.157271881478,.266296760243
RUS,Russian Federation,ECS,Europe & Central Asia,national,2022,income,37.919479003383,.339058401442,.030373504212,.044778263649,.054873980224,.064997764915,.075520444324,.087484584767,.102844968033,.123084782845,.154111621418,.261930085613
RUS,Russian Federation,ECS,Europe & Central Asia,national,2023,income,41.11273767597,.330062453101,.031261652574,.045411909224,.055419945774,.06579450813,.076352549723,.088332858855,.103170394177,.124265938724,.158991760774,.250998482045
